city,province,region,cluster_id,cluster_name,avg_aqi,max_aqi,good_rate,polluted_rate,avg_pm25
上海,上海市,华东,0,低污染稳定型,53.28,89.0,1.0,0.0,33.04
东莞,广东省,华南,0,低污染稳定型,44.39,75.0,1.0,0.0,27.52
中山,广东省,华南,0,低污染稳定型,40.51,71.0,1.0,0.0,25.12
乌鲁木齐,新疆维吾尔自治区,西北,2,高污染风险型,102.72,145.0,0.4562,0.5438,63.69
佛山,广东省,华南,0,低污染稳定型,49.07,80.0,1.0,0.0,30.43
兰州,甘肃省,西北,2,高污染风险型,91.07,133.0,0.6874,0.3126,56.46
北京,北京市,华北,2,高污染风险型,92.57,137.0,0.6504,0.3496,57.39
南京,江苏省,华东,1,中等波动型,65.23,101.0,0.9998,0.0002,40.45
南宁,广西壮族自治区,华南,0,低污染稳定型,40.51,71.0,1.0,0.0,25.12
南昌,江西省,华东,1,中等波动型,58.8,95.0,1.0,0.0,36.45
厦门,福建省,华东,0,低污染稳定型,39.65,76.0,1.0,0.0,24.58
合肥,安徽省,华东,1,中等波动型,62.48,99.0,1.0,0.0,38.74
呼和浩特,内蒙古自治区,华北,1,中等波动型,83.53,128.0,0.8159,0.1841,51.79
哈尔滨,黑龙江省,东北,1,中等波动型,80.91,120.0,0.9002,0.0998,50.16
嘉峪关,甘肃省,西北,1,中等波动型,71.99,114.0,0.978,0.022,44.63
大理,云南省,西南,0,低污染稳定型,34.03,67.0,1.0,0.0,21.09
大连,辽宁省,东北,0,低污染稳定型,52.91,93.0,1.0,0.0,32.81
天津,天津市,华北,2,高污染风险型,88.06,132.0,0.7374,0.2626,54.6
太原,山西省,华北,2,高污染风险型,103.86,148.0,0.4402,0.5598,64.39
宁波,浙江省,华东,0,低污染稳定型,50.53,87.0,1.0,0.0,31.33
宜昌,湖北省,华中,1,中等波动型,59.06,99.0,1.0,0.0,36.62
宝鸡,陕西省,西北,1,中等波动型,80.46,123.0,0.8881,0.1119,49.89
常州,江苏省,华东,1,中等波动型,59.71,96.0,1.0,0.0,37.02
广州,广东省,华南,0,低污染稳定型,42.06,73.0,1.0,0.0,26.07
惠州,广东省,华南,0,低污染稳定型,38.22,68.0,1.0,0.0,23.7
成都,四川省,西南,1,中等波动型,72.17,106.0,0.9965,0.0035,44.74
拉萨,西藏自治区,西南,0,低污染稳定型,31.84,65.0,1.0,0.0,19.75
无锡,江苏省,华东,0,低污染稳定型,56.04,92.0,1.0,0.0,34.74
昆明,云南省,西南,0,低污染稳定型,37.94,71.0,1.0,0.0,23.53
杭州,浙江省,华东,0,低污染稳定型,56.96,93.0,1.0,0.0,35.31
株洲,湖南省,华中,1,中等波动型,71.31,111.0,0.9851,0.0149,44.22
桂林,广西壮族自治区,华南,0,低污染稳定型,35.25,66.0,1.0,0.0,21.86
武汉,湖北省,华中,1,中等波动型,73.35,114.0,0.9748,0.0252,45.48
沈阳,辽宁省,东北,1,中等波动型,78.91,119.0,0.9268,0.0732,48.93
泉州,福建省,华东,0,低污染稳定型,45.93,82.0,1.0,0.0,28.47
洛阳,河南省,华中,2,高污染风险型,90.68,131.0,0.7027,0.2973,56.23
济南,山东省,华东,1,中等波动型,80.88,117.0,0.9218,0.0782,50.14
海口,海南省,华南,0,低污染稳定型,30.46,60.0,1.0,0.0,18.89
深圳,广东省,华南,0,低污染稳定型,38.98,69.0,1.0,0.0,24.16
温州,浙江省,华东,0,低污染稳定型,46.85,82.0,1.0,0.0,29.04
潍坊,山东省,华东,1,中等波动型,71.68,108.0,0.9939,0.0061,44.44
烟台,山东省,华东,0,低污染稳定型,55.12,91.0,1.0,0.0,34.17
珠海,广东省,华南,0,低污染稳定型,35.25,66.0,1.0,0.0,21.86
石家庄,河北省,华北,2,高污染风险型,117.42,162.0,0.1822,0.8178,72.81
福州,福建省,华东,0,低污染稳定型,45.02,77.0,1.0,0.0,27.91
绍兴,浙江省,华东,0,低污染稳定型,53.28,90.0,1.0,0.0,33.03
绵阳,四川省,西南,0,低污染稳定型,54.1,88.0,1.0,0.0,33.54
苏州,江苏省,华东,0,低污染稳定型,54.2,91.0,1.0,0.0,33.6
西宁,青海省,西北,1,中等波动型,62.44,104.0,0.9988,0.0012,38.71
西安,陕西省,西北,2,高污染风险型,98.49,137.0,0.541,0.459,61.06
贵阳,贵州省,西南,0,低污染稳定型,40.41,74.0,1.0,0.0,25.05
遵义,贵州省,西南,0,低污染稳定型,42.94,77.0,1.0,0.0,26.62
郑州,河南省,华中,2,高污染风险型,97.83,138.0,0.5517,0.4483,60.65
重庆,重庆市,西南,1,中等波动型,65.28,99.0,1.0,0.0,40.48
金华,浙江省,华东,0,低污染稳定型,51.43,88.0,1.0,0.0,31.89
银川,宁夏回族自治区,西北,1,中等波动型,76.23,118.0,0.9407,0.0593,47.26
长春,吉林省,东北,1,中等波动型,74.91,115.0,0.9687,0.0313,46.44
长沙,湖南省,华中,1,中等波动型,67.23,108.0,0.9958,0.0042,41.68
青岛,山东省,华东,0,低污染稳定型,52.36,89.0,1.0,0.0,32.46
齐齐哈尔,黑龙江省,东北,1,中等波动型,72.91,112.0,0.9808,0.0192,45.2
