rank,city,province,region,risk_score,avg_aqi,max_aqi,polluted_rate,avg_pm25
1,石家庄,河北省,华北,100.0,117.42,162.0,0.8178,72.81
2,太原,山西省,华北,80.7844,103.86,148.0,0.5598,64.39
3,乌鲁木齐,新疆维吾尔自治区,西北,78.9906,102.72,145.0,0.5438,63.69
4,西安,陕西省,西北,72.1489,98.49,137.0,0.459,61.06
5,郑州,河南省,华中,71.603,97.83,138.0,0.4483,60.65
6,北京,北京市,华北,65.0602,92.57,137.0,0.3496,57.39
7,兰州,甘肃省,西北,62.1978,91.07,133.0,0.3126,56.46
8,洛阳,河南省,华中,61.0972,90.68,131.0,0.2973,56.23
9,天津,天津市,华北,58.5743,88.06,132.0,0.2626,54.6
10,呼和浩特,内蒙古自治区,华北,52.5225,83.53,128.0,0.1841,51.79
11,宝鸡,陕西省,西北,47.3976,80.46,123.0,0.1119,49.89
12,哈尔滨,黑龙江省,东北,46.7178,80.91,120.0,0.0998,50.16
13,济南,山东省,华东,45.4516,80.88,117.0,0.0782,50.14
14,沈阳,辽宁省,东北,44.447,78.91,119.0,0.0732,48.93
15,银川,宁夏回族自治区,西北,42.1291,76.23,118.0,0.0593,47.26
16,长春,吉林省,东北,39.8512,74.91,115.0,0.0313,46.44
17,武汉,湖北省,华中,38.4806,73.35,114.0,0.0252,45.48
18,齐齐哈尔,黑龙江省,东北,37.6293,72.91,112.0,0.0192,45.2
19,嘉峪关,甘肃省,西北,37.5234,71.99,114.0,0.022,44.63
20,株洲,湖南省,华中,36.2899,71.31,111.0,0.0149,44.22
21,潍坊,山东省,华东,35.6634,71.68,108.0,0.0061,44.44
22,成都,四川省,西南,35.5006,72.17,106.0,0.0035,44.74
23,长沙,湖南省,华中,32.7903,67.23,108.0,0.0042,41.68
24,南京,江苏省,华东,30.0358,65.23,101.0,0.0002,40.45
25,重庆,重庆市,西南,29.6697,65.28,99.0,0.0,40.48
26,西宁,青海省,西北,28.8885,62.44,104.0,0.0012,38.71
27,合肥,安徽省,华东,27.8942,62.48,99.0,0.0,38.74
28,宜昌,湖北省,华中,25.7339,59.06,99.0,0.0,36.62
29,常州,江苏省,华东,25.5567,59.71,96.0,0.0,37.02
30,南昌,江西省,华东,24.7827,58.8,95.0,0.0,36.45
31,杭州,浙江省,华东,23.2262,56.96,93.0,0.0,35.31
32,无锡,江苏省,华东,22.448,56.04,92.0,0.0,34.74
33,烟台,山东省,华东,21.6709,55.12,91.0,0.0,34.17
34,苏州,江苏省,华东,21.0896,54.2,91.0,0.0,33.6
35,大连,辽宁省,东北,20.6679,52.91,93.0,0.0,32.81
36,绵阳,四川省,西南,20.4384,54.1,88.0,0.0,33.54
37,绍兴,浙江省,华东,20.3125,53.28,90.0,0.0,33.03
38,上海,上海市,华东,20.12,53.28,89.0,0.0,33.04
39,青岛,山东省,华东,19.5323,52.36,89.0,0.0,32.46
40,金华,浙江省,华东,18.7521,51.43,88.0,0.0,31.89
41,宁波,浙江省,华东,17.9818,50.53,87.0,0.0,31.33
42,佛山,广东省,华南,15.6902,49.07,80.0,0.0,30.43
43,温州,浙江省,华东,14.6741,46.85,82.0,0.0,29.04
44,泉州,福建省,华东,14.0919,45.93,82.0,0.0,28.47
45,福州,福建省,华东,12.5351,45.02,77.0,0.0,27.91
46,东莞,广东省,华南,11.7476,44.39,75.0,0.0,27.52
47,遵义,贵州省,西南,11.2234,42.94,77.0,0.0,26.62
48,广州,广东省,华南,9.8821,42.06,73.0,0.0,26.07
49,贵阳,贵州省,西南,9.0365,40.41,74.0,0.0,25.05
50,厦门,福建省,华东,8.9457,39.65,76.0,0.0,24.58
51,南宁,广西壮族自治区,华南,8.5118,40.51,71.0,0.0,25.12
52,中山,广东省,华南,8.5103,40.51,71.0,0.0,25.12
53,深圳,广东省,华南,7.1482,38.98,69.0,0.0,24.16
54,昆明,云南省,西南,6.8865,37.94,71.0,0.0,23.53
55,惠州,广东省,华南,6.4735,38.22,68.0,0.0,23.7
56,珠海,广东省,华南,4.2036,35.25,66.0,0.0,21.86
57,桂林,广西壮族自治区,华南,4.2024,35.25,66.0,0.0,21.86
58,大理,云南省,西南,3.6236,34.03,67.0,0.0,21.09
59,拉萨,西藏自治区,西南,1.8538,31.84,65.0,0.0,19.75
60,海口,海南省,华南,0.0,30.46,60.0,0.0,18.89
