city,province,region,longitude,latitude,avg_aqi,avg_pm25,avg_pm10,z_aqi,spatial_lag_z,local_moran_i,p_value,significant,cluster,neighbors
上海,上海市,华东,121.4737,31.2304,53.28,33.04,55.94,-0.422106,-0.333499,0.140772,0.556,False,Not significant,苏州|无锡|宁波|常州|绍兴|杭州
东莞,广东省,华南,113.7518,23.0207,44.39,27.52,46.61,-0.85128,-1.030305,0.877078,0.043,True,Low-Low,广州|深圳|佛山|中山|惠州|珠海
中山,广东省,华南,113.3928,22.5176,40.51,25.12,42.53,-1.038583,-0.999088,1.037635,0.025,True,Low-Low,珠海|佛山|东莞|深圳|广州|惠州
乌鲁木齐,新疆维吾尔自治区,西北,87.6168,43.8256,102.72,63.69,107.86,1.964275,0.336759,0.661486,0.089,False,Not significant,嘉峪关|西宁|拉萨|兰州|银川|宝鸡
佛山,广东省,华南,113.1214,23.0215,49.07,30.43,51.52,-0.62538,-1.067955,0.667878,0.071,False,Not significant,广州|中山|东莞|珠海|深圳|惠州
兰州,甘肃省,西北,103.8343,36.0611,91.07,56.46,95.62,1.401639,0.576915,0.808627,0.064,False,Not significant,西宁|银川|宝鸡|西安|绵阳|成都
北京,北京市,华北,116.4074,39.9042,92.57,57.39,97.18,1.474007,1.393825,2.054508,0.001,True,High-High,天津|石家庄|济南|太原|呼和浩特|潍坊
南京,江苏省,华东,118.7969,32.0603,65.23,40.45,68.5,0.154744,-0.23734,-0.036727,0.826,False,Not significant,常州|合肥|无锡|苏州|杭州|上海
南宁,广西壮族自治区,华南,108.3669,22.817,40.51,25.12,42.54,-1.038466,-1.081179,1.122769,0.021,True,Low-Low,桂林|海口|贵阳|佛山|广州|中山
南昌,江西省,华东,115.8582,28.6829,58.8,36.45,61.74,-0.155797,-0.010969,0.001709,0.985,False,Not significant,武汉|株洲|长沙|金华|合肥|福州
厦门,福建省,华东,118.0894,24.4798,39.65,24.58,41.64,-1.080163,-0.907341,0.980076,0.038,True,Low-Low,泉州|福州|惠州|深圳|温州|东莞
合肥,安徽省,华东,117.2272,31.8206,62.48,38.74,65.6,0.021632,-0.053756,-0.001163,0.995,False,Not significant,南京|常州|无锡|武汉|苏州|杭州
呼和浩特,内蒙古自治区,华北,111.7492,40.8426,83.53,51.79,87.7,1.037934,1.503097,1.560115,0.007,True,High-High,太原|石家庄|北京|天津|银川|济南
哈尔滨,黑龙江省,东北,126.5349,45.8038,80.91,50.16,84.96,0.911284,0.443729,0.404363,0.226,False,Not significant,长春|齐齐哈尔|沈阳|大连|烟台|北京
嘉峪关,甘肃省,西北,98.2892,39.7731,71.99,44.63,75.59,0.480647,0.763068,0.366767,0.239,False,Not significant,西宁|兰州|银川|乌鲁木齐|宝鸡|绵阳
大理,云南省,西南,100.2676,25.6065,34.03,21.09,35.73,-1.351532,-0.477214,0.64497,0.079,False,Not significant,昆明|贵阳|成都|遵义|重庆|绵阳
大连,辽宁省,东北,121.6147,38.914,52.91,32.81,55.56,-0.440051,0.53513,-0.235484,0.405,False,Not significant,烟台|潍坊|青岛|沈阳|天津|北京
天津,天津市,华北,117.2008,39.0842,88.06,54.6,92.46,1.256581,0.791643,0.994764,0.029,True,High-High,北京|石家庄|济南|潍坊|大连|烟台
太原,山西省,华北,112.5489,37.8706,103.86,64.39,109.05,2.019003,1.534485,3.098131,0.001,True,High-High,石家庄|呼和浩特|郑州|洛阳|北京|济南
宁波,浙江省,华东,121.5503,29.8746,50.53,31.33,53.05,-0.555192,-0.377935,0.209826,0.451,False,Not significant,绍兴|杭州|上海|苏州|金华|无锡
宜昌,湖北省,华中,111.2865,30.6919,59.06,36.62,62.02,-0.143043,0.757535,-0.10836,0.612,False,Not significant,武汉|长沙|株洲|洛阳|西安|重庆
宝鸡,陕西省,西北,107.2379,34.3619,80.46,49.89,84.49,0.889838,0.889404,0.791425,0.052,False,Not significant,西安|兰州|绵阳|银川|洛阳|成都
常州,江苏省,华东,119.9741,31.8112,59.71,37.02,62.7,-0.111741,-0.266904,0.029824,0.875,False,Not significant,无锡|苏州|南京|上海|杭州|绍兴
广州,广东省,华南,113.2644,23.1291,42.06,26.08,44.16,-0.963733,-1.011563,0.974876,0.031,True,Low-Low,佛山|东莞|中山|珠海|深圳|惠州
惠州,广东省,华南,114.4162,23.1115,38.22,23.7,40.13,-1.149142,-0.980661,1.126919,0.026,True,Low-Low,东莞|深圳|广州|中山|珠海|佛山
成都,四川省,西南,104.0665,30.5723,72.17,44.74,75.77,0.489294,0.016916,0.008277,0.948,False,Not significant,绵阳|重庆|遵义|贵阳|宝鸡|兰州
拉萨,西藏自治区,西南,91.1172,29.6469,31.84,19.75,33.44,-1.456883,-0.317801,0.462999,0.169,False,Not significant,大理|成都|西宁|昆明|嘉峪关|绵阳
无锡,江苏省,华东,120.3119,31.4912,56.04,34.74,58.84,-0.289249,-0.237319,0.068644,0.736,False,Not significant,苏州|常州|上海|杭州|南京|绍兴
昆明,云南省,西南,102.8329,24.8801,37.94,23.53,39.84,-1.162597,-0.618005,0.718491,0.073,False,Not significant,大理|贵阳|遵义|南宁|重庆|成都
杭州,浙江省,华东,120.1551,30.2741,56.96,35.31,59.81,-0.244684,-0.429686,0.105137,0.619,False,Not significant,绍兴|苏州|无锡|宁波|金华|上海
株洲,湖南省,华中,113.1339,27.8274,71.31,44.22,74.88,0.447993,-0.292999,-0.131262,0.567,False,Not significant,长沙|南昌|武汉|宜昌|桂林|广州
桂林,广西壮族自治区,华南,110.29,25.2736,35.25,21.86,37.01,-1.292591,-0.495333,0.640264,0.096,False,Not significant,南宁|佛山|广州|贵阳|株洲|长沙
武汉,湖北省,华中,114.3054,30.5931,73.35,45.48,77.01,0.546284,0.096069,0.052481,0.751,False,Not significant,南昌|宜昌|长沙|合肥|株洲|南京
沈阳,辽宁省,东北,123.4315,41.8057,78.91,48.93,82.86,0.814866,0.423561,0.345145,0.284,False,Not significant,长春|大连|哈尔滨|烟台|天津|齐齐哈尔
泉州,福建省,华东,118.6757,24.8741,45.93,28.47,48.23,-0.777095,-0.741749,0.576409,0.139,False,Not significant,厦门|福州|温州|惠州|金华|南昌
洛阳,河南省,华中,112.454,34.6197,90.68,56.23,95.22,1.383164,1.491244,2.062635,0.002,True,High-High,郑州|西安|太原|石家庄|宜昌|济南
济南,山东省,华东,117.1201,36.6512,80.88,50.14,84.92,0.909873,1.188563,1.081442,0.02,True,High-High,潍坊|天津|石家庄|青岛|北京|郑州
海口,海南省,华南,110.1983,20.044,30.46,18.89,31.99,-1.523492,-1.011859,1.541559,0.005,True,Low-Low,南宁|珠海|中山|佛山|广州|深圳
深圳,广东省,华南,114.0579,22.5431,38.98,24.16,40.92,-1.112577,-0.986755,1.097842,0.029,True,Low-Low,珠海|东莞|中山|惠州|广州|佛山
温州,浙江省,华东,120.6994,27.9943,46.85,29.04,49.19,-0.732785,-0.496138,0.363562,0.244,False,Not significant,金华|宁波|绍兴|福州|杭州|上海
潍坊,山东省,华东,119.1618,36.7069,71.68,44.44,75.26,0.465721,0.400003,0.18629,0.485,False,Not significant,青岛|济南|烟台|天津|大连|北京
烟台,山东省,华东,121.4479,37.4638,55.12,34.17,57.88,-0.333529,0.423354,-0.141201,0.576,False,Not significant,大连|青岛|潍坊|济南|天津|沈阳
珠海,广东省,华南,113.5767,22.2707,35.25,21.86,37.01,-1.292414,-0.956783,1.236559,0.01,True,Low-Low,中山|深圳|东莞|佛山|广州|惠州
