schema_version,source,data_kind,city_code,city,province,requested_latitude,requested_longitude,weather_grid_latitude,weather_grid_longitude,air_quality_grid_latitude,air_quality_grid_longitude,weather_observed_at,air_quality_observed_at,fetched_at_utc,temperature_c,relative_humidity_pct,precipitation_mm,weather_code_wmo,wind_speed_kmh,wind_direction_deg,surface_pressure_hpa,european_aqi,us_aqi,pm10_ug_m3,pm25_ug_m3,co_ug_m3,no2_ug_m3,so2_ug_m3,o3_ug_m3,raw_sha256,raw_weather_path,raw_air_quality_path
1.0,open-meteo,forecast_model_current,beijing,北京,北京市,39.9042,116.4074,39.89455,116.35983,39.90001,116.399994,2026-07-11T12:15,2026-07-11T12:00,2026-07-11T04:18:38+00:00,29.0,80,0.0,3,3.9,56,996.3,64,89,28.1,27.2,735.0,47.3,5.5,101.0,3f514301051f409bb2cad822682f6df7d566edd8b47e735202868fbcd8d98418,data/raw/open_meteo/2026-07-11/beijing_weather.json,data/raw/open_meteo/2026-07-11/beijing_air_quality.json
1.0,open-meteo,forecast_model_current,chengdu,成都,四川省,30.5728,104.0668,30.544815,104.08235,30.599998,104.100006,2026-07-11T12:15,2026-07-11T12:00,2026-07-11T04:18:38+00:00,33.3,57,0.0,3,14.6,13,946.1,68,100,21.1,20.7,475.0,12.1,5.8,169.0,dce2d8bd110adc5dcedb89285dd2b970cf137093d67a423e918f11e593d72004,data/raw/open_meteo/2026-07-11/chengdu_weather.json,data/raw/open_meteo/2026-07-11/chengdu_air_quality.json
1.0,open-meteo,forecast_model_current,guangzhou,广州,广东省,23.1291,113.2644,23.163443,113.27749,23.099998,113.30002,2026-07-11T12:15,2026-07-11T12:00,2026-07-11T04:18:38+00:00,33.6,58,0.0,0,3.8,301,997.3,77,126,33.9,30.2,548.0,12.5,9.5,163.0,5f89655ed995d446438b2f5d49671afd8726f0c4e01e1408e95aaf2190c2235b,data/raw/open_meteo/2026-07-11/guangzhou_weather.json,data/raw/open_meteo/2026-07-11/guangzhou_air_quality.json
1.0,open-meteo,forecast_model_current,hangzhou,杭州,浙江省,30.2741,120.1551,30.263618,120.14051,30.300003,120.20001,2026-07-11T12:15,2026-07-11T12:00,2026-07-11T04:18:38+00:00,32.3,60,0.1,51,26.9,72,999.5,39,66,18.7,14.1,141.0,3.7,1.6,96.0,3c5006b5f2bb9f2a151800662ec1ab97656239c2555e46171189ac1e2cefbf4c,data/raw/open_meteo/2026-07-11/hangzhou_weather.json,data/raw/open_meteo/2026-07-11/hangzhou_air_quality.json
1.0,open-meteo,forecast_model_current,shanghai,上海,上海市,31.2304,121.4737,31.247803,121.5,31.200005,121.5,2026-07-11T12:15,2026-07-11T12:00,2026-07-11T04:18:38+00:00,31.3,68,0.1,95,25.4,87,1002.6,31,58,21.8,15.6,118.0,7.4,3.9,56.0,7cfa4bc84b3e38cdc251b7829ca9ae34ec3baaf013047db364d6c2b89ab493e1,data/raw/open_meteo/2026-07-11/shanghai_weather.json,data/raw/open_meteo/2026-07-11/shanghai_air_quality.json
1.0,open-meteo,forecast_model_current,shenzhen,深圳,广东省,22.5431,114.0579,22.530754,114.08714,22.5,114.100006,2026-07-11T12:15,2026-07-11T12:00,2026-07-11T04:18:38+00:00,32.3,66,0.0,0,5.9,268,997.9,61,81,31.8,26.9,394.0,32.6,45.6,96.0,37c07c0b1fcc07a75d92d32417650d068805ecaf35316739d2ed419bb8c13478,data/raw/open_meteo/2026-07-11/shenzhen_weather.json,data/raw/open_meteo/2026-07-11/shenzhen_air_quality.json
1.0,open-meteo,forecast_model_current,beijing,北京,北京市,39.9042,116.4074,39.89455,116.35983,39.90001,116.399994,2026-08-09T03:00,2026-08-09T03:00,2026-08-08T19:08:32+00:00,24.6,77,0.0,2,2.9,22,1005.6,72,111,120.6,117.8,644.0,116.0,9.4,0.0,eb648844395f4a091dcb789ff888e35c3b3e499c8ea8cc62cb92c0cae0b5aac1,data/raw/open_meteo/2026-08-09/beijing_weather.json,data/raw/open_meteo/2026-08-09/beijing_air_quality.json
1.0,open-meteo,forecast_model_current,chengdu,成都,四川省,30.5728,104.0668,30.544815,104.08235,30.599998,104.100006,2026-08-09T03:00,2026-08-09T03:00,2026-08-08T19:08:32+00:00,24.2,94,0.0,0,1.8,307,952.8,75,121,66.6,65.9,1022.0,77.7,11.3,54.0,4fbce147b2d963c0b7fd130230a4ef6b02175e216fc47bac128cda3795ea340a,data/raw/open_meteo/2026-08-09/chengdu_weather.json,data/raw/open_meteo/2026-08-09/chengdu_air_quality.json
1.0,open-meteo,forecast_model_current,guangzhou,广州,广东省,23.1291,113.2644,23.163443,113.27749,23.099998,113.30002,2026-08-09T03:00,2026-08-09T03:00,2026-08-08T19:08:32+00:00,27.2,87,0.0,1,7.3,310,996.2,72,110,33.2,32.7,640.0,46.7,5.9,45.0,c90e782e1af5be38d2d5ad35c94dc58bb09ccdc3232b00651b51d570ce3419de,data/raw/open_meteo/2026-08-09/guangzhou_weather.json,data/raw/open_meteo/2026-08-09/guangzhou_air_quality.json
1.0,open-meteo,forecast_model_current,hangzhou,杭州,浙江省,30.2741,120.1551,30.263618,120.14051,30.300003,120.20001,2026-08-09T03:00,2026-08-09T03:00,2026-08-08T19:08:32+00:00,26.8,86,0.2,53,26.4,9,994.1,29,60,7.3,6.1,117.0,23.9,4.3,19.0,e0ea7d464a2c5ee4e357f30b9918a2cbea0009f622e417767a7474f1ee8cfcc2,data/raw/open_meteo/2026-08-09/hangzhou_weather.json,data/raw/open_meteo/2026-08-09/hangzhou_air_quality.json
