city,year_month,avg_aqi,max_aqi,good_rate,avg_pm25,avg_pm10,avg_so2,avg_no2
??,2025-01,69.76,89,1.0,43.27,73.22,8.11,15.57
??,2025-02,67.6,88,1.0,41.88,70.9,8.92,15.13
??,2025-03,61.46,83,1.0,38.1,64.56,6.41,13.85
??,2025-04,53.48,76,1.0,33.2,56.19,6.78,12.14
??,2025-05,45.27,67,1.0,28.07,47.49,7.13,10.44
??,2025-06,39.08,61,1.0,24.18,41.12,4.65,9.28
??,2025-07,36.99,57,1.0,22.97,38.87,5.46,8.85
??,2025-08,38.92,58,1.0,24.16,40.83,6.61,9.21
??,2025-09,45.36,66,1.0,28.09,47.56,5.13,10.47
??,2025-10,53.43,75,1.0,33.11,56.15,6.78,12.17
??,2025-11,61.28,84,1.0,38.06,64.32,8.39,13.77
??,2025-12,67.7,89,1.0,41.98,71.05,6.94,15.15
??,2025-01,58.36,75,1.0,36.19,61.26,7.16,13.19
??,2025-02,56.43,73,1.0,34.99,59.28,8.0,12.77
??,2025-03,51.35,71,1.0,31.82,53.9,5.6,11.71
??,2025-04,44.62,62,1.0,27.66,46.86,6.08,10.33
??,2025-05,37.59,55,1.0,23.3,39.45,6.51,8.99
??,2025-06,32.37,51,1.0,20.07,33.99,4.08,8.16
??,2025-07,30.64,47,1.0,18.98,32.19,4.95,7.89
??,2025-08,32.21,50,1.0,19.99,33.8,6.07,8.14
??,2025-09,37.59,57,1.0,23.28,39.47,4.51,8.98
??,2025-10,44.54,64,1.0,27.61,46.77,6.07,10.31
??,2025-11,51.21,70,1.0,31.75,53.75,7.6,11.69
??,2025-12,56.57,75,1.0,35.07,59.4,6.03,12.81
??,2025-01,54.45,71,1.0,33.76,57.16,6.85,12.37
??,2025-02,52.52,71,1.0,32.57,55.16,7.7,11.97
??,2025-03,47.44,66,1.0,29.41,49.81,5.29,10.9
??,2025-04,40.73,59,1.0,25.26,42.76,5.77,9.53
??,2025-05,33.69,52,1.0,20.89,35.37,6.18,8.25
??,2025-06,28.54,47,1.0,17.69,29.98,3.78,7.53
??,2025-07,26.84,44,1.0,16.63,28.2,4.64,7.34
??,2025-08,28.38,46,1.0,17.62,29.77,5.77,7.52
??,2025-09,33.68,53,1.0,20.87,35.39,4.19,8.23
??,2025-10,40.65,60,1.0,25.21,42.65,5.76,9.5
??,2025-11,47.29,66,1.0,29.31,49.64,7.29,10.86
??,2025-12,52.7,70,1.0,32.66,55.33,5.71,12.01
????,2025-01,121.74,145,0.0,75.49,127.81,12.24,26.51
????,2025-02,119.07,99,0.0022,73.81,125.0,13.03,25.93
????,2025-03,112.18,99,0.0847,69.55,117.8,10.48,24.49
????,2025-04,103.07,99,0.3903,63.9,108.22,10.75,22.56
????,2025-05,93.43,99,0.7883,57.92,98.08,10.98,20.56
????,2025-06,86.4,99,0.9632,53.56,90.73,8.42,19.08
????,2025-07,84.03,99,0.9866,52.12,88.23,9.22,18.58
????,2025-08,86.17,99,0.9543,53.41,90.46,10.38,19.03
????,2025-09,93.47,99,0.7917,57.94,98.18,8.97,20.56
????,2025-10,102.96,99,0.3911,63.85,108.1,10.73,22.55
????,2025-11,111.98,99,0.0868,69.45,117.55,12.45,24.45
????,2025-12,119.25,99,0.0047,73.91,125.24,11.03,25.98
??,2025-01,63.07,80,1.0,39.08,66.19,7.56,14.18
??,2025-02,61.11,78,1.0,37.92,64.19,8.38,13.76
??,2025-03,56.02,75,1.0,34.73,58.82,5.98,12.69
??,2025-04,49.31,69,1.0,30.58,51.78,6.45,11.29
??,2025-05,42.26,59,1.0,26.18,44.35,6.9,9.9
??,2025-06,37.05,55,1.0,22.98,38.94,4.47,9.0
??,2025-07,35.3,52,1.0,21.88,37.07,5.32,8.73
??,2025-08,36.93,56,1.0,22.92,38.74,6.44,9.0
??,2025-09,42.23,62,1.0,26.16,44.38,4.89,9.92
??,2025-10,49.23,69,1.0,30.54,51.67,6.45,11.29
??,2025-11,55.86,73,1.0,34.64,58.64,7.96,12.66
??,2025-12,61.27,80,1.0,37.99,64.34,6.39,13.82
??,2025-01,110.09,99,0.1196,68.28,115.61,11.29,24.06
??,2025-02,107.42,99,0.2098,66.58,112.8,12.09,23.49
??,2025-03,100.51,99,0.506,62.31,105.51,9.54,22.05
??,2025-04,91.38,99,0.8528,56.65,95.94,9.83,20.12
??,2025-05,81.84,99,0.9866,50.77,85.95,10.03,18.12
??,2025-06,74.75,99,1.0,46.34,78.46,7.48,16.64
??,2025-07,72.33,95,1.0,44.82,75.94,8.29,16.12
??,2025-08,74.57,97,1.0,46.25,78.28,9.47,16.6
??,2025-09,81.78,99,0.9868,50.69,85.87,8.04,18.12
??,2025-10,91.26,99,0.8448,56.59,95.84,9.8,20.08
??,2025-11,100.35,99,0.5063,62.24,105.35,11.53,22.0
??,2025-12,107.59,99,0.2097,66.69,112.96,10.1,23.53
??,2025-01,112.8,99,0.1001,69.96,118.49,11.53,24.62
??,2025-02,110.26,99,0.1421,68.46,115.85,12.33,24.09
??,2025-03,102.67,99,0.4106,63.67,107.78,9.72,22.47
??,2025-04,92.71,99,0.809,57.42,97.35,9.93,20.42
??,2025-05,82.72,99,0.9711,51.3,86.87,10.11,18.31
??,2025-06,75.0,99,0.9986,46.41,78.65,7.48,16.66
??,2025-07,72.63,97,1.0,45.06,76.32,8.29,16.19
??,2025-08,74.98,99,1.0,46.52,78.73,9.49,16.69
??,2025-09,82.67,99,0.9875,51.18,86.66,8.11,18.26
??,2025-10,92.76,99,0.789,57.52,97.43,9.89,20.44
??,2025-11,102.59,99,0.4271,63.63,107.58,11.72,22.44
??,2025-12,110.16,99,0.1411,68.26,115.67,10.31,24.07
??,2025-01,81.73,99,0.9993,50.7,85.78,9.05,18.11
??,2025-02,79.52,97,0.9985,49.3,83.45,9.85,17.64
??,2025-03,73.47,95,1.0,45.53,77.15,7.38,16.38
??,2025-04,65.41,88,1.0,40.56,68.77,7.73,14.67
??,2025-05,57.2,78,1.0,35.49,60.03,8.06,12.93
??,2025-06,51.17,73,1.0,31.7,53.7,5.59,11.7
??,2025-07,48.97,69,1.0,30.35,51.48,6.41,11.23
??,2025-08,50.83,71,1.0,31.52,53.38,7.58,11.61
??,2025-09,57.23,79,1.0,35.52,60.03,6.07,12.93
??,2025-10,65.44,87,1.0,40.56,68.69,7.74,14.69
??,2025-11,73.18,96,1.0,45.36,76.92,9.36,16.31
??,2025-12,79.59,99,1.0,49.36,83.57,7.88,17.64
??,2025-01,54.48,71,1.0,33.78,57.19,6.86,12.39
??,2025-02,52.52,69,1.0,32.58,55.17,7.69,11.96
??,2025-03,47.42,66,1.0,29.4,49.79,5.3,10.91
??,2025-04,40.78,59,1.0,25.29,42.78,5.78,9.64
??,2025-05,33.64,52,1.0,20.84,35.33,6.2,8.49
??,2025-06,28.58,46,1.0,17.73,30.0,3.78,7.84
??,2025-07,26.82,44,1.0,16.63,28.19,4.63,7.61
??,2025-08,28.43,46,1.0,17.62,29.79,5.77,7.83
??,2025-09,33.66,52,1.0,20.86,35.41,4.18,8.48
??,2025-10,40.64,59,1.0,25.2,42.65,5.76,9.63
??,2025-11,47.27,66,1.0,29.33,49.65,7.29,10.86
??,2025-12,52.7,70,1.0,32.65,55.31,5.72,12.01
??,2025-01,75.3,95,1.0,46.67,79.09,8.53,16.77
??,2025-02,73.03,94,1.0,45.27,76.7,9.34,16.26
??,2025-03,67.02,88,1.0,41.54,70.38,6.86,15.0
??,2025-04,59.07,81,1.0,36.62,62.0,7.2,13.33
??,2025-05,50.72,73,1.0,31.45,53.21,7.54,11.59
??,2025-06,44.63,64,1.0,27.67,46.88,5.08,10.34
??,2025-07,42.58,62,1.0,26.39,44.75,5.91,9.94
??,2025-08,44.48,65,1.0,27.57,46.7,7.06,10.3
??,2025-09,50.74,72,1.0,31.46,53.28,5.56,11.59
??,2025-10,58.93,81,1.0,36.55,61.84,7.21,13.3
??,2025-11,66.83,87,1.0,41.45,70.14,8.86,14.96
??,2025-12,73.2,94,1.0,45.37,76.91,7.36,16.32
??,2025-01,55.97,76,1.0,34.71,58.78,6.99,12.69
??,2025-02,53.72,74,1.0,33.27,56.45,7.78,12.2
??,2025-03,47.66,68,1.0,29.56,50.04,5.32,10.95
??,2025-04,39.71,61,1.0,24.65,41.63,5.67,9.44
??,2025-05,31.48,54,1.0,19.52,33.05,6.01,8.2
??,2025-06,25.86,46,1.0,16.02,27.2,3.54,7.46
??,2025-07,24.15,43,1.0,14.95,25.4,4.35,7.26
??,2025-08,25.65,46,1.0,15.93,26.9,5.51,7.43
??,2025-09,31.43,50,1.0,19.49,32.97,4.01,8.18
??,2025-10,39.65,61,1.0,24.6,41.62,5.67,9.45
??,2025-11,47.56,70,1.0,29.47,49.96,7.33,10.95
??,2025-12,53.86,75,1.0,33.37,56.59,5.81,12.24
??,2025-01,78.97,99,1.0,48.97,82.9,8.8,17.53
??,2025-02,76.67,98,1.0,47.51,80.58,9.63,17.03
??,2025-03,70.64,93,1.0,43.82,74.14,7.16,15.77
??,2025-04,62.82,86,1.0,38.95,65.94,7.52,14.14
??,2025-05,54.46,75,1.0,33.75,57.19,7.85,12.38
??,2025-06,48.25,68,1.0,29.93,50.71,5.35,11.09
??,2025-07,46.21,66,1.0,28.66,48.48,6.19,10.67
??,2025-08,48.14,68,1.0,29.86,50.5,7.34,11.08
??,2025-09,54.51,77,1.0,33.75,57.29,5.85,12.4
??,2025-10,62.64,85,1.0,38.84,65.8,7.51,14.08
??,2025-11,70.46,94,1.0,43.73,73.91,9.15,15.7
??,2025-12,76.87,97,1.0,47.66,80.69,7.65,17.08
????,2025-01,103.76,99,0.3569,64.36,108.92,10.79,22.7
????,2025-02,101.09,99,0.4747,62.63,106.05,11.59,22.17
????,2025-03,93.54,99,0.7661,57.98,98.25,8.99,20.58
????,2025-04,83.93,99,0.9597,52.1,88.09,9.21,18.52
????,2025-05,73.67,98,1.0,45.65,77.33,9.41,16.4
????,2025-06,65.96,91,1.0,40.87,69.41,6.78,14.79
????,2025-07,63.59,88,1.0,39.44,66.75,7.59,14.28
????,2025-08,65.95,90,1.0,40.93,69.18,8.77,14.76
????,2025-09,73.62,99,0.9986,45.56,77.34,7.4,16.43
????,2025-10,83.71,99,0.9765,51.92,87.94,9.2,18.51
????,2025-11,93.55,99,0.7674,58.02,98.08,10.97,20.54
????,2025-12,101.16,99,0.4731,62.69,106.24,9.6,22.19
???,2025-01,98.83,99,0.5914,61.28,103.75,10.4,21.69
???,2025-02,96.32,99,0.7009,59.73,101.15,11.2,21.17
???,2025-03,89.83,99,0.9066,55.69,94.32,8.69,19.81
???,2025-04,81.23,99,0.9938,50.37,85.28,8.99,17.99
???,2025-05,72.14,95,1.0,44.73,75.76,9.28,16.1
???,2025-06,65.51,88,1.0,40.59,68.81,6.74,14.69
???,2025-07,63.28,84,1.0,39.24,66.43,7.57,14.23
???,2025-08,65.29,88,1.0,40.47,68.56,8.73,14.64
???,2025-09,72.19,97,1.0,44.75,75.82,7.28,16.09
???,2025-10,81.11,99,0.9946,50.29,85.15,8.98,17.98
???,2025-11,89.64,99,0.9132,55.59,94.11,10.67,19.76
???,2025-12,96.53,99,0.6929,59.84,101.38,9.22,21.2
???,2025-01,90.97,99,0.8938,56.4,95.52,9.77,20.04
???,2025-02,88.35,99,0.9249,54.79,92.79,10.56,19.48
???,2025-03,81.42,99,0.9886,50.49,85.47,8.02,18.03
???,2025-04,72.31,94,1.0,44.83,75.91,8.29,16.11
???,2025-05,62.72,87,1.0,38.9,65.86,8.51,14.1
???,2025-06,55.68,81,1.0,34.51,58.49,5.95,12.63
???,2025-07,53.28,77,1.0,33.04,55.95,6.75,12.13
???,2025-08,55.44,79,1.0,34.37,58.19,7.92,12.58
???,2025-09,62.71,90,1.0,38.88,65.87,6.52,14.1
???,2025-10,72.18,99,1.0,44.75,75.78,8.28,16.09
???,2025-11,81.27,99,0.9993,50.41,85.31,10.0,17.99
???,2025-12,88.57,99,0.9267,54.91,93.02,8.59,19.55
??,2025-01,48.86,67,1.0,30.3,51.31,6.42,11.2
??,2025-02,46.74,66,1.0,28.96,49.06,7.24,10.74
??,2025-03,41.15,60,1.0,25.52,43.21,4.8,9.64
??,2025-04,33.73,54,1.0,20.91,35.41,5.19,8.3
??,2025-05,26.32,46,1.0,16.3,27.62,5.57,7.36
??,2025-06,21.93,41,1.0,13.58,23.04,3.13,6.92
??,2025-07,20.77,37,1.0,12.88,21.82,4.0,6.82
??,2025-08,21.83,39,1.0,13.56,22.92,5.13,6.91
??,2025-09,26.29,45,1.0,16.27,27.63,3.58,7.34
??,2025-10,33.65,55,1.0,20.86,35.32,5.18,8.3
??,2025-11,40.98,61,1.0,25.4,43.0,6.79,9.59
??,2025-12,46.88,67,1.0,29.06,49.23,5.24,10.79
??,2025-01,70.84,93,1.0,43.93,74.38,8.17,15.82
??,2025-02,68.35,92,1.0,42.36,71.77,8.97,15.29
??,2025-03,61.8,85,1.0,38.31,64.91,6.44,13.91
??,2025-04,53.23,76,1.0,33.02,55.89,6.76,12.12
??,2025-05,44.2,68,1.0,27.42,46.38,7.03,10.33
??,2025-06,37.51,58,1.0,23.25,39.4,4.49,9.19
??,2025-07,35.21,57,1.0,21.82,37.0,5.3,8.82
??,2025-08,37.35,60,1.0,23.18,39.18,6.5,9.15
??,2025-09,44.18,69,1.0,27.39,46.42,5.04,10.31
??,2025-10,53.08,78,1.0,32.9,55.75,6.75,12.08
??,2025-11,61.64,86,1.0,38.23,64.7,8.43,13.87
??,2025-12,68.55,90,1.0,42.5,71.97,7.0,15.34
??,2025-01,108.27,99,0.213,67.15,113.73,11.18,23.66
??,2025-02,105.55,99,0.2969,65.46,110.85,11.93,23.1
??,2025-03,98.16,99,0.5988,60.87,103.05,9.37,21.53
??,2025-04,88.27,99,0.9056,54.65,92.6,9.58,19.45
??,2025-05,78.17,99,0.994,48.49,82.1,9.76,17.36
??,2025-06,70.75,97,1.0,43.84,74.15,7.13,15.75
??,2025-07,68.04,93,1.0,42.18,71.47,7.97,15.23
??,2025-08,70.38,96,1.0,43.65,73.94,9.12,15.74
??,2025-09,78.38,99,0.9931,48.62,82.23,7.73,17.37
??,2025-10,88.21,99,0.9005,54.68,92.62,9.56,19.47
??,2025-11,98.02,99,0.6139,60.87,102.98,11.39,21.52
??,2025-12,105.69,99,0.3091,65.51,110.95,9.97,23.13
??,2025-01,124.11,148,0.0,76.97,130.31,12.44,26.98
??,2025-02,121.33,99,0.0045,75.16,127.33,13.21,26.42
??,2025-03,113.88,99,0.0665,70.62,119.61,10.62,24.87
??,2025-04,104.4,99,0.3382,64.74,109.48,10.84,22.82
??,2025-05,93.95,99,0.7634,58.24,98.66,11.04,20.67
??,2025-06,86.42,99,0.9354,53.64,90.83,8.42,19.07
??,2025-07,83.94,99,0.9778,52.04,88.11,9.22,18.55
??,2025-08,86.26,99,0.957,53.48,90.51,10.39,19.04
??,2025-09,93.82,99,0.7743,58.15,98.67,9.0,20.66
??,2025-10,104.12,99,0.3622,64.57,109.31,10.83,22.77
