city,province,region,year_month,record_count,avg_aqi,max_aqi,good_rate,avg_pm25,avg_pm10,avg_so2,avg_no2
上海,上海市,华东,2025-01,1488,69.76,89,1.0,43.27,73.22,8.11,15.57
上海,上海市,华东,2025-02,1344,67.6,88,1.0,41.88,70.9,8.92,15.13
上海,上海市,华东,2025-03,1488,61.46,83,1.0,38.1,64.56,6.41,13.85
上海,上海市,华东,2025-04,1440,53.48,76,1.0,33.2,56.19,6.78,12.14
上海,上海市,华东,2025-05,1488,45.27,67,1.0,28.07,47.49,7.13,10.44
上海,上海市,华东,2025-06,1440,39.08,61,1.0,24.18,41.12,4.65,9.28
上海,上海市,华东,2025-07,1488,36.99,57,1.0,22.97,38.87,5.46,8.85
上海,上海市,华东,2025-08,1488,38.92,58,1.0,24.16,40.83,6.61,9.21
上海,上海市,华东,2025-09,1440,45.36,66,1.0,28.09,47.56,5.13,10.47
上海,上海市,华东,2025-10,1488,53.43,75,1.0,33.11,56.15,6.78,12.17
上海,上海市,华东,2025-11,1440,61.28,84,1.0,38.06,64.32,8.39,13.77
上海,上海市,华东,2025-12,1488,67.7,89,1.0,41.98,71.05,6.94,15.15
东莞,广东省,华南,2025-01,1488,58.36,75,1.0,36.19,61.26,7.16,13.19
东莞,广东省,华南,2025-02,1344,56.43,73,1.0,34.99,59.28,8.0,12.77
东莞,广东省,华南,2025-03,1488,51.35,71,1.0,31.82,53.9,5.6,11.71
东莞,广东省,华南,2025-04,1440,44.62,62,1.0,27.66,46.86,6.08,10.33
东莞,广东省,华南,2025-05,1488,37.59,55,1.0,23.3,39.45,6.51,8.99
东莞,广东省,华南,2025-06,1440,32.37,51,1.0,20.07,33.99,4.08,8.16
东莞,广东省,华南,2025-07,1488,30.64,47,1.0,18.98,32.19,4.95,7.89
东莞,广东省,华南,2025-08,1488,32.21,50,1.0,19.99,33.8,6.07,8.14
东莞,广东省,华南,2025-09,1440,37.59,57,1.0,23.28,39.47,4.51,8.98
东莞,广东省,华南,2025-10,1488,44.54,64,1.0,27.61,46.77,6.07,10.31
