city,province,region,avg_aqi,max_aqi,good_rate
石家庄,河北省,华北,117.42,162,0.1822
太原,山西省,华北,103.86,148,0.4402
乌鲁木齐,新疆维吾尔自治区,西北,102.72,145,0.4562
西安,陕西省,西北,98.48,137,0.541
郑州,河南省,华中,97.83,138,0.5517
北京,北京市,华北,92.57,137,0.6505
兰州,甘肃省,西北,91.07,133,0.6874
洛阳,河南省,华中,90.68,131,0.7027
天津,天津市,华北,88.06,132,0.7374
呼和浩特,内蒙古自治区,华北,83.53,128,0.8159
哈尔滨,黑龙江省,东北,80.91,120,0.9002
济南,山东省,华东,80.88,117,0.9217
宝鸡,陕西省,西北,80.46,123,0.8881
沈阳,辽宁省,东北,78.91,119,0.9268
银川,宁夏回族自治区,西北,76.23,118,0.9407
长春,吉林省,东北,74.91,115,0.9687
武汉,湖北省,华中,73.35,114,0.9748
齐齐哈尔,黑龙江省,东北,72.91,112,0.9808
成都,四川省,西南,72.16,106,0.9965
嘉峪关,甘肃省,西北,71.99,114,0.978
