record_id,city,region,datetime,year_month,hour,aqi,aqi_minmax,aqi_zscore,pm25_minmax,pm10_minmax,level_code,is_rush_hour,is_heavy_pollution
AQ2025-001-1-00001,北京,华北,2025-01-01 00:00:00,2025-01,0,111,0.645833,1.962519,0.670213,0.720497,2,0,0
AQ2025-001-2-00001,北京,华北,2025-01-01 00:00:00,2025-01,0,117,0.6875,2.202965,0.723404,0.73913,2,0,0
AQ2025-002-1-00001,天津,华北,2025-01-01 00:00:00,2025-01,0,107,0.618056,1.802222,0.648936,0.689441,2,0,0
AQ2025-002-2-00001,天津,华北,2025-01-01 00:00:00,2025-01,0,113,0.659722,2.042668,0.702128,0.708075,2,0,0
AQ2025-003-1-00001,石家庄,华北,2025-01-01 00:00:00,2025-01,0,137,0.826389,3.00445,0.851064,0.875776,2,0,0
AQ2025-003-2-00001,石家庄,华北,2025-01-01 00:00:00,2025-01,0,142,0.861111,3.204821,0.893617,0.888199,2,0,0
AQ2025-004-1-00001,太原,华北,2025-01-01 00:00:00,2025-01,0,123,0.729167,2.44341,0.755319,0.770186,2,0,0
AQ2025-004-2-00001,太原,华北,2025-01-01 00:00:00,2025-01,0,129,0.770833,2.683856,0.808511,0.78882,2,0,0
AQ2025-005-1-00001,呼和浩特,华北,2025-01-01 00:00:00,2025-01,0,103,0.590278,1.641925,0.62766,0.621118,2,0,0
AQ2025-005-2-00001,呼和浩特,华北,2025-01-01 00:00:00,2025-01,0,108,0.625,1.842296,0.670213,0.63354,2,0,0
AQ2025-006-1-00001,上海,华东,2025-01-01 00:00:00,2025-01,0,69,0.354167,0.2794,0.393617,0.385093,1,0,0
AQ2025-006-2-00001,上海,华东,2025-01-01 00:00:00,2025-01,0,74,0.388889,0.479771,0.446809,0.397516,1,0,0
AQ2025-007-1-00001,南京,华东,2025-01-01 00:00:00,2025-01,0,81,0.4375,0.760291,0.478723,0.453416,1,0,0
AQ2025-007-2-00001,南京,华东,2025-01-01 00:00:00,2025-01,0,86,0.472222,0.960663,0.521277,0.465839,1,0,0
AQ2025-008-1-00001,杭州,华东,2025-01-01 00:00:00,2025-01,0,73,0.381944,0.439697,0.414894,0.391304,1,0,0
AQ2025-008-2-00001,杭州,华东,2025-01-01 00:00:00,2025-01,0,78,0.416667,0.640069,0.468085,0.403727,1,0,0
AQ2025-009-1-00001,宁波,华东,2025-01-01 00:00:00,2025-01,0,67,0.340278,0.199252,0.37234,0.354037,1,0,0
AQ2025-009-2-00001,宁波,华东,2025-01-01 00:00:00,2025-01,0,71,0.368056,0.359549,0.414894,0.360248,1,0,0
AQ2025-010-1-00001,合肥,华东,2025-01-01 00:00:00,2025-01,0,79,0.423611,0.680143,0.446809,0.434783,1,0,0
AQ2025-010-2-00001,合肥,华东,2025-01-01 00:00:00,2025-01,0,83,0.451389,0.84044,0.489362,0.440994,1,0,0
AQ2025-011-1-00001,福州,华东,2025-01-01 00:00:00,2025-01,0,62,0.305556,-0.00112,0.329787,0.335404,1,0,0
AQ2025-011-2-00001,福州,华东,2025-01-01 00:00:00,2025-01,0,66,0.333333,0.159177,0.37234,0.341615,1,0,0
AQ2025-012-1-00001,厦门,华东,2025-01-01 00:00:00,2025-01,0,56,0.263889,-0.241565,0.287234,0.31677,1,0,0
AQ2025-012-2-00001,厦门,华东,2025-01-01 00:00:00,2025-01,0,61,0.298611,-0.041194,0.329787,0.329193,1,0,0
AQ2025-013-1-00001,南昌,华东,2025-01-01 00:00:00,2025-01,0,76,0.402778,0.55992,0.404255,0.459627,1,0,0
AQ2025-013-2-00001,南昌,华东,2025-01-01 00:00:00,2025-01,0,80,0.430556,0.720217,0.446809,0.465839,1,0,0
AQ2025-014-1-00001,济南,华东,2025-01-01 00:00:00,2025-01,0,98,0.555556,1.441554,0.542553,0.621118,1,0,0
AQ2025-014-2-00001,济南,华东,2025-01-01 00:00:00,2025-01,0,102,0.583333,1.601851,0.585106,0.627329,2,0,0
