record_id,city,region,datetime,aqi,pm25,primary_pollutant,filter_rule
AQ2025-001-2-00001,北京,华北,2025-01-01 00:00:00,117,75,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-003-1-00001,石家庄,华北,2025-01-01 00:00:00,137,87,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-003-2-00001,石家庄,华北,2025-01-01 00:00:00,142,91,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-004-1-00001,太原,华北,2025-01-01 00:00:00,123,78,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-004-2-00001,太原,华北,2025-01-01 00:00:00,129,83,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-030-2-00001,西安,西北,2025-01-01 00:00:00,125,79,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-031-2-00001,兰州,西北,2025-01-01 00:00:00,118,75,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-034-1-00001,乌鲁木齐,西北,2025-01-01 00:00:00,125,79,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-034-2-00001,乌鲁木齐,西北,2025-01-01 00:00:00,130,83,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-001-2-00002,北京,华北,2025-01-01 01:00:00,116,75,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-003-1-00002,石家庄,华北,2025-01-01 01:00:00,137,87,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-003-2-00002,石家庄,华北,2025-01-01 01:00:00,142,91,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-004-1-00002,太原,华北,2025-01-01 01:00:00,123,78,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-004-2-00002,太原,华北,2025-01-01 01:00:00,129,83,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-030-1-00002,西安,西北,2025-01-01 01:00:00,122,77,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-030-2-00002,西安,西北,2025-01-01 01:00:00,127,82,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-031-2-00002,兰州,西北,2025-01-01 01:00:00,120,78,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-034-1-00002,乌鲁木齐,西北,2025-01-01 01:00:00,127,80,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-034-2-00002,乌鲁木齐,西北,2025-01-01 01:00:00,132,85,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-001-2-00003,北京,华北,2025-01-01 02:00:00,116,75,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-003-1-00003,石家庄,华北,2025-01-01 02:00:00,137,87,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-003-2-00003,石家庄,华北,2025-01-01 02:00:00,142,92,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-004-1-00003,太原,华北,2025-01-01 02:00:00,124,79,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-004-2-00003,太原,华北,2025-01-01 02:00:00,129,84,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-030-1-00003,西安,西北,2025-01-01 02:00:00,122,78,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-030-2-00003,西安,西北,2025-01-01 02:00:00,127,83,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-031-2-00003,兰州,西北,2025-01-01 02:00:00,119,77,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-034-1-00003,乌鲁木齐,西北,2025-01-01 02:00:00,126,79,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-034-2-00003,乌鲁木齐,西北,2025-01-01 02:00:00,131,84,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-001-2-00004,北京,华北,2025-01-01 03:00:00,116,76,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-003-1-00004,石家庄,华北,2025-01-01 03:00:00,137,87,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-003-2-00004,石家庄,华北,2025-01-01 03:00:00,142,92,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-004-1-00004,太原,华北,2025-01-01 03:00:00,124,79,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-004-2-00004,太原,华北,2025-01-01 03:00:00,129,84,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-016-2-00004,郑州,华中,2025-01-01 03:00:00,124,75,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-030-1-00004,西安,西北,2025-01-01 03:00:00,120,76,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-030-2-00004,西安,西北,2025-01-01 03:00:00,124,80,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-031-2-00004,兰州,西北,2025-01-01 03:00:00,116,75,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-034-1-00004,乌鲁木齐,西北,2025-01-01 03:00:00,122,75,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-034-2-00004,乌鲁木齐,西北,2025-01-01 03:00:00,127,80,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-001-2-00005,北京,华北,2025-01-01 04:00:00,115,75,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-003-1-00005,石家庄,华北,2025-01-01 04:00:00,137,88,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-003-2-00005,石家庄,华北,2025-01-01 04:00:00,142,92,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-004-1-00005,太原,华北,2025-01-01 04:00:00,124,79,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-004-2-00005,太原,华北,2025-01-01 04:00:00,129,84,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-016-2-00005,郑州,华中,2025-01-01 04:00:00,124,75,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-030-2-00005,西安,西北,2025-01-01 04:00:00,120,77,PM2.5,aqi >= 101 and pm25 >= 75
