id,city,date,aqi,level,pm25,pm10,so2,no2
AQ-1001,北京,2026-03-01,42,优,30,48,6,14
AQ-1002,上海,2026-03-01,78,良,52,86,8,20
AQ-1003,广州,2026-03-01,95,良,64,101,10,23
AQ-1004,深圳,2026-03-01,128,污染,90,136,13,31
AQ-1005,成都,2026-03-01,109,污染,74,120,12,29
AQ-1006,杭州,2026-03-01,67,良,47,77,7,18
AQ-1007,北京,2026-03-05,58,良,41,68,7,17
AQ-1008,上海,2026-03-05,88,良,60,99,9,24
AQ-1009,广州,2026-03-05,102,污染,71,113,11,27
AQ-1010,深圳,2026-03-05,138,污染,96,149,15,35
AQ-1011,成都,2026-03-05,119,污染,82,130,12,30
AQ-1012,杭州,2026-03-05,73,良,51,83,8,20
AQ-1013,北京,2026-03-10,47,优,34,55,6,15
AQ-1014,上海,2026-03-10,81,良,57,92,9,22
AQ-1015,广州,2026-03-10,98,良,68,108,11,25
AQ-1016,深圳,2026-03-10,133,污染,93,143,14,34
AQ-1017,成都,2026-03-10,112,污染,78,123,12,29
AQ-1018,杭州,2026-03-10,70,良,49,80,8,19
AQ-1019,北京,2026-03-15,53,良,38,63,7,16
AQ-1020,上海,2026-03-15,90,良,63,102,10,24
AQ-1021,广州,2026-03-15,107,污染,75,117,11,28
AQ-1022,深圳,2026-03-15,145,污染,101,158,16,37
AQ-1023,成都,2026-03-15,123,污染,86,135,13,32
AQ-1024,杭州,2026-03-15,75,良,52,86,9,21
AQ-1025,北京,2026-03-20,49,优,35,57,6,15
AQ-1026,上海,2026-03-20,85,良,59,95,9,22
AQ-1027,广州,2026-03-20,101,污染,71,112,10,26
AQ-1028,深圳,2026-03-20,136,污染,95,147,15,35
AQ-1029,成都,2026-03-20,116,污染,81,128,12,30
AQ-1030,杭州,2026-03-20,72,良,50,82,8,20
AQ-1031,北京,2026-03-25,56,良,39,66,7,16
AQ-1032,上海,2026-03-25,92,良,64,104,10,25
AQ-1033,广州,2026-03-25,110,污染,77,121,12,29
AQ-1034,深圳,2026-03-25,142,污染,99,154,16,36
AQ-1035,成都,2026-03-25,121,污染,85,133,13,31
AQ-1036,杭州,2026-03-25,74,良,52,85,8,20
AQ-1001,北京,2026-03-01,42,优,30,48,6,14
AQ-DIRTY-MISSING-PM25,上海,2026-03-01,78,良,,86,8,20
AQ-DIRTY-MISSING-AQI,广州,2026-03-01,,良,64,101,10,23
AQ-DIRTY-NEGATIVE-PM10,深圳,2026-03-01,128,污染,90,-9,13,31
AQ-DIRTY-AQI-OUTLIER,成都,2026-03-01,999,污染,74,120,12,29
