city,longitude,latitude
北京,116.4074,39.9042
天津,117.2008,39.0842
石家庄,114.5149,38.0428
太原,112.5489,37.8706
呼和浩特,111.7492,40.8426
上海,121.4737,31.2304
南京,118.7969,32.0603
杭州,120.1551,30.2741
宁波,121.5503,29.8746
合肥,117.2272,31.8206
福州,119.2965,26.0745
厦门,118.0894,24.4798
南昌,115.8582,28.6829
济南,117.1201,36.6512
青岛,120.3826,36.0671
郑州,113.6254,34.7466
武汉,114.3054,30.5931
长沙,112.9388,28.2282
广州,113.2644,23.1291
深圳,114.0579,22.5431
珠海,113.5767,22.2707
佛山,113.1214,23.0215
南宁,108.3669,22.8170
海口,110.1983,20.0440
重庆,106.5516,29.5630
成都,104.0665,30.5723
贵阳,106.6302,26.6470
昆明,102.8329,24.8801
拉萨,91.1172,29.6469
西安,108.9398,34.3416
兰州,103.8343,36.0611
西宁,101.7782,36.6171
银川,106.2309,38.4872
乌鲁木齐,87.6168,43.8256
沈阳,123.4315,41.8057
大连,121.6147,38.9140
长春,125.3235,43.8171
哈尔滨,126.5349,45.8038
苏州,120.5853,31.2989
无锡,120.3119,31.4912
常州,119.9741,31.8112
温州,120.6994,27.9943
绍兴,120.5802,30.0303
金华,119.6474,29.0792
泉州,118.6757,24.8741
烟台,121.4479,37.4638
潍坊,119.1618,36.7069
洛阳,112.4540,34.6197
宜昌,111.2865,30.6919
株洲,113.1339,27.8274
东莞,113.7518,23.0207
中山,113.3928,22.5176
惠州,114.4162,23.1115
桂林,110.2900,25.2736
绵阳,104.6796,31.4675
遵义,106.9270,27.7257
大理,100.2676,25.6065
宝鸡,107.2379,34.3619
嘉峪关,98.2892,39.7731
齐齐哈尔,123.9182,47.3543
