city,province,region,date,record_count,avg_aqi,max_aqi,good_rate,avg_pm25,avg_pm10,avg_so2,avg_no2
上海,上海市,华东,2025-01-01,48,73.75,84,1.0,45.08,74.67,8.48,16.33
上海,上海市,华东,2025-01-02,48,68.19,84,1.0,43.69,72.79,7.98,14.67
上海,上海市,华东,2025-01-03,48,71.4,84,1.0,42.44,75.85,8.23,16.83
上海,上海市,华东,2025-01-04,48,67.79,81,1.0,43.46,68.92,7.96,14.38
上海,上海市,华东,2025-01-05,48,63.46,76,1.0,38.54,69.58,7.69,15.12
上海,上海市,华东,2025-01-06,48,74.19,88,1.0,46.23,74.25,8.38,16.02
上海,上海市,华东,2025-01-07,48,67.31,77,1.0,42.6,73.21,7.94,14.98
上海,上海市,华东,2025-01-08,48,73.25,89,1.0,43.85,76.31,8.4,16.79
上海,上海市,华东,2025-01-09,48,71.04,86,1.0,45.54,74.06,8.31,15.25
上海,上海市,华东,2025-01-10,48,70.0,82,1.0,41.92,75.88,8.1,16.54
上海,上海市,华东,2025-01-11,48,69.44,84,1.0,44.08,69.29,8.12,14.77
上海,上海市,华东,2025-01-12,48,62.67,75,1.0,38.98,69.04,7.46,14.25
上海,上海市,华东,2025-01-13,48,74.29,84,1.0,45.21,75.83,8.46,16.58
上海,上海市,华东,2025-01-14,48,69.17,85,1.0,44.31,73.71,8.02,14.88
上海,上海市,华东,2025-01-15,48,71.69,85,1.0,42.75,76.15,8.29,16.96
上海,上海市,华东,2025-01-16,48,72.6,86,1.0,46.6,73.33,8.29,15.31
上海,上海市,华东,2025-01-17,48,67.77,81,1.0,41.46,74.25,7.98,15.81
上海,上海市,华东,2025-01-18,48,69.83,84,1.0,43.19,70.17,8.0,15.27
上海,上海市,华东,2025-01-19,48,63.33,73,1.0,40.08,69.19,7.65,14.15
上海,上海市,华东,2025-01-20,48,73.38,88,1.0,43.83,76.52,8.46,17.02
上海,上海市,华东,2025-01-21,48,71.17,87,1.0,45.77,73.54,8.35,15.08
上海,上海市,华东,2025-01-22,48,69.23,82,1.0,41.6,75.1,8.04,16.29
上海,上海市,华东,2025-01-23,48,73.85,89,1.0,46.5,74.31,8.4,15.73
上海,上海市,华东,2025-01-24,48,67.27,80,1.0,41.69,74.19,7.9,15.27
上海,上海市,华东,2025-01-25,48,69.67,80,1.0,42.15,71.06,8.1,15.81
上海,上海市,华东,2025-01-26,48,64.58,80,1.0,41.6,68.12,7.62,13.88
上海,上海市,华东,2025-01-27,48,70.65,84,1.0,42.31,75.0,8.17,16.58
上海,上海市,华东,2025-01-28,48,72.15,85,1.0,46.25,72.9,8.25,15.06
上海,上海市,华东,2025-01-29,48,67.25,80,1.0,40.98,74.21,7.96,15.65
上海,上海市,华东,2025-01-30,48,74.31,88,1.0,45.75,75.19,8.46,16.4
上海,上海市,华东,2025-01-31,48,67.79,78,1.0,42.92,73.25,7.92,15.1
上海,上海市,华东,2025-02-01,48,67.75,83,1.0,40.46,70.5,8.88,15.83
上海,上海市,华东,2025-02-02,48,65.71,82,1.0,42.52,67.5,8.71,13.85
上海,上海市,华东,2025-02-03,48,68.19,81,1.0,40.85,74.56,8.98,16.02
上海,上海市,华东,2025-02-04,48,73.5,88,1.0,46.02,74.08,9.38,15.69
上海,上海市,华东,2025-02-05,48,66.83,79,1.0,41.65,73.4,8.85,15.19
上海,上海市,华东,2025-02-06,48,73.1,84,1.0,44.25,74.54,9.33,16.56
上海,上海市,华东,2025-02-07,48,68.04,84,1.0,43.94,71.35,8.96,14.52
上海,上海市,华东,2025-02-08,48,64.44,78,1.0,38.42,69.0,8.73,15.21
上海,上海市,华东,2025-02-09,48,66.92,79,1.0,42.75,67.6,8.94,14.1
上海,上海市,华东,2025-02-10,48,66.42,78,1.0,40.54,73.29,8.83,15.58
上海,上海市,华东,2025-02-11,48,73.27,87,1.0,45.02,73.79,9.35,16.31
上海,上海市,华东,2025-02-12,48,66.33,78,1.0,42.4,71.31,8.75,14.54
上海,上海市,华东,2025-02-13,48,70.35,85,1.0,42.08,73.71,9.1,16.25
上海,上海市,华东,2025-02-14,48,69.38,86,1.0,44.58,71.6,9.0,14.48
上海,上海市,华东,2025-02-15,48,62.29,75,1.0,37.23,68.79,8.52,14.9
上海,上海市,华东,2025-02-16,48,67.94,82,1.0,42.5,67.92,9.04,14.69
上海,上海市,华东,2025-02-17,48,65.06,78,1.0,40.81,71.1,8.75,14.77
上海,上海市,华东,2025-02-18,48,70.94,82,1.0,43.06,72.5,9.12,16.1
上海,上海市,华东,2025-02-19,48,66.52,82,1.0,43.0,69.83,8.98,14.17
上海,上海市,华东,2025-02-20,48,67.35,81,1.0,40.04,72.65,8.92,16.0
上海,上海市,华东,2025-02-21,48,70.46,82,1.0,44.77,71.02,9.17,15.04
上海,上海市,华东,2025-02-22,48,59.92,71,1.0,36.79,66.1,8.25,14.12
上海,上海市,华东,2025-02-23,48,66.42,81,1.0,40.79,66.52,8.85,14.79
上海,上海市,华东,2025-02-24,48,64.31,77,1.0,41.12,69.15,8.6,14.0
上海,上海市,华东,2025-02-25,48,68.38,83,1.0,40.6,72.21,8.92,16.12
上海,上海市,华东,2025-02-26,48,68.1,84,1.0,43.56,69.96,8.88,14.42
上海,上海市,华东,2025-02-27,48,64.81,77,1.0,39.02,71.1,8.75,15.4
上海,上海市,华东,2025-02-28,48,70.15,84,1.0,43.92,69.98,9.15,15.1
上海,上海市,华东,2025-03-01,48,57.98,72,1.0,36.69,63.56,6.1,13.06
上海,上海市,华东,2025-03-02,48,63.98,76,1.0,38.44,65.79,6.58,14.69
上海,上海市,华东,2025-03-03,48,65.02,80,1.0,41.88,68.17,6.83,13.83
上海,上海市,华东,2025-03-04,48,65.12,79,1.0,38.73,70.27,6.71,15.58
上海,上海市,华东,2025-03-05,48,68.15,79,1.0,43.44,68.1,6.96,14.58
上海,上海市,华东,2025-03-06,48,61.6,73,1.0,38.15,67.81,6.35,14.25
上海,上海市,华东,2025-03-07,48,68.42,83,1.0,41.9,69.25,6.98,15.25
上海,上海市,华东,2025-03-08,48,57.81,70,1.0,37.02,62.33,6.1,12.67
上海,上海市,华东,2025-03-09,48,61.44,75,1.0,36.21,65.27,6.56,14.67
