city,province,region,record_count,avg_aqi,max_aqi,good_rate,polluted_rate,avg_pm25,avg_pm10,avg_so2,avg_no2
石家庄,河北省,华北,17520,117.42,162.0,0.1822,0.8178,72.81,123.29,11.89,25.59
太原,山西省,华北,17520,103.86,148.0,0.4402,0.5598,64.39,109.05,10.81,22.74
乌鲁木齐,新疆维吾尔自治区,西北,17520,102.72,145.0,0.4562,0.5438,63.69,107.86,10.71,22.51
西安,陕西省,西北,17520,98.48,137.0,0.541,0.459,61.06,103.41,10.37,21.62
郑州,河南省,华中,17520,97.83,138.0,0.5517,0.4483,60.65,102.72,10.32,21.48
北京,北京市,华北,17520,92.57,137.0,0.6505,0.3495,57.39,97.18,9.9,20.37
兰州,甘肃省,西北,17520,91.07,133.0,0.6874,0.3126,56.46,95.62,9.78,20.06
洛阳,河南省,华中,17520,90.68,131.0,0.7027,0.2973,56.23,95.22,9.75,19.98
天津,天津市,华北,17520,88.06,132.0,0.7374,0.2626,54.6,92.46,9.55,19.42
呼和浩特,内蒙古自治区,华北,17520,83.53,128.0,0.8159,0.1841,51.79,87.7,9.18,18.47
哈尔滨,黑龙江省,东北,17520,80.91,120.0,0.9002,0.0998,50.16,84.96,8.97,17.93
济南,山东省,华东,17520,80.88,117.0,0.9217,0.0783,50.14,84.92,8.97,17.92
宝鸡,陕西省,西北,17520,80.46,123.0,0.8881,0.1119,49.89,84.49,8.93,17.83
沈阳,辽宁省,东北,17520,78.91,119.0,0.9268,0.0732,48.93,82.86,8.81,17.5
银川,宁夏回族自治区,西北,17520,76.23,118.0,0.9407,0.0593,47.26,80.03,8.59,16.94
长春,吉林省,东北,17520,74.91,115.0,0.9687,0.0313,46.44,78.66,8.49,16.66
武汉,湖北省,华中,17520,73.35,114.0,0.9748,0.0252,45.48,77.01,8.36,16.34
齐齐哈尔,黑龙江省,东北,17520,72.91,112.0,0.9808,0.0192,45.2,76.56,8.33,16.25
成都,四川省,西南,17520,72.16,106.0,0.9965,0.0035,44.74,75.77,8.26,16.09
嘉峪关,甘肃省,西北,17520,71.99,114.0,0.978,0.022,44.63,75.59,8.25,16.05
