year_month,region,record_count,partition_path
2025-01,东北,7440,year_month=2025-01/region=东北
2025-01,华东,28272,year_month=2025-01/region=华东
2025-01,华中,8928,year_month=2025-01/region=华中
2025-01,华北,7440,year_month=2025-01/region=华北
2025-01,华南,14880,year_month=2025-01/region=华南
2025-01,西北,10416,year_month=2025-01/region=西北
2025-01,西南,11904,year_month=2025-01/region=西南
2025-02,东北,6720,year_month=2025-02/region=东北
2025-02,华东,25536,year_month=2025-02/region=华东
2025-02,华中,8064,year_month=2025-02/region=华中
2025-02,华北,6720,year_month=2025-02/region=华北
2025-02,华南,13440,year_month=2025-02/region=华南
2025-02,西北,9408,year_month=2025-02/region=西北
2025-02,西南,10752,year_month=2025-02/region=西南
2025-03,东北,7440,year_month=2025-03/region=东北
2025-03,华东,28272,year_month=2025-03/region=华东
2025-03,华中,8928,year_month=2025-03/region=华中
2025-03,华北,7440,year_month=2025-03/region=华北
2025-03,华南,14880,year_month=2025-03/region=华南
2025-03,西北,10416,year_month=2025-03/region=西北
2025-03,西南,11904,year_month=2025-03/region=西南
2025-04,东北,7200,year_month=2025-04/region=东北
2025-04,华东,27360,year_month=2025-04/region=华东
2025-04,华中,8640,year_month=2025-04/region=华中
2025-04,华北,7200,year_month=2025-04/region=华北
2025-04,华南,14400,year_month=2025-04/region=华南
2025-04,西北,10080,year_month=2025-04/region=西北
2025-04,西南,11520,year_month=2025-04/region=西南
2025-05,东北,7440,year_month=2025-05/region=东北
2025-05,华东,28272,year_month=2025-05/region=华东
2025-05,华中,8928,year_month=2025-05/region=华中
2025-05,华北,7440,year_month=2025-05/region=华北
2025-05,华南,14880,year_month=2025-05/region=华南
2025-05,西北,10416,year_month=2025-05/region=西北
2025-05,西南,11904,year_month=2025-05/region=西南
2025-06,东北,7200,year_month=2025-06/region=东北
2025-06,华东,27360,year_month=2025-06/region=华东
2025-06,华中,8640,year_month=2025-06/region=华中
2025-06,华北,7200,year_month=2025-06/region=华北
2025-06,华南,14400,year_month=2025-06/region=华南
2025-06,西北,10080,year_month=2025-06/region=西北
2025-06,西南,11520,year_month=2025-06/region=西南
2025-07,东北,7440,year_month=2025-07/region=东北
2025-07,华东,28272,year_month=2025-07/region=华东
2025-07,华中,8928,year_month=2025-07/region=华中
2025-07,华北,7440,year_month=2025-07/region=华北
2025-07,华南,14880,year_month=2025-07/region=华南
2025-07,西北,10416,year_month=2025-07/region=西北
2025-07,西南,11904,year_month=2025-07/region=西南
2025-08,东北,7440,year_month=2025-08/region=东北
2025-08,华东,28272,year_month=2025-08/region=华东
2025-08,华中,8928,year_month=2025-08/region=华中
2025-08,华北,7440,year_month=2025-08/region=华北
2025-08,华南,14880,year_month=2025-08/region=华南
2025-08,西北,10416,year_month=2025-08/region=西北
2025-08,西南,11904,year_month=2025-08/region=西南
2025-09,东北,7200,year_month=2025-09/region=东北
2025-09,华东,27360,year_month=2025-09/region=华东
2025-09,华中,8640,year_month=2025-09/region=华中
2025-09,华北,7200,year_month=2025-09/region=华北
2025-09,华南,14400,year_month=2025-09/region=华南
2025-09,西北,10080,year_month=2025-09/region=西北
2025-09,西南,11520,year_month=2025-09/region=西南
2025-10,东北,7440,year_month=2025-10/region=东北
2025-10,华东,28272,year_month=2025-10/region=华东
2025-10,华中,8928,year_month=2025-10/region=华中
2025-10,华北,7440,year_month=2025-10/region=华北
2025-10,华南,14880,year_month=2025-10/region=华南
2025-10,西北,10416,year_month=2025-10/region=西北
2025-10,西南,11904,year_month=2025-10/region=西南
2025-11,东北,7200,year_month=2025-11/region=东北
2025-11,华东,27360,year_month=2025-11/region=华东
2025-11,华中,8640,year_month=2025-11/region=华中
2025-11,华北,7200,year_month=2025-11/region=华北
2025-11,华南,14400,year_month=2025-11/region=华南
2025-11,西北,10080,year_month=2025-11/region=西北
2025-11,西南,11520,year_month=2025-11/region=西南
2025-12,东北,7440,year_month=2025-12/region=东北
2025-12,华东,28272,year_month=2025-12/region=华东
2025-12,华中,8928,year_month=2025-12/region=华中
2025-12,华北,7440,year_month=2025-12/region=华北
2025-12,华南,14880,year_month=2025-12/region=华南
2025-12,西北,10416,year_month=2025-12/region=西北
2025-12,西南,11904,year_month=2025-12/region=西南
