region,year_month,record_count,avg_aqi,max_aqi,good_rate,polluted_rate,avg_pm25,avg_pm10,avg_so2,avg_no2
东北,2025-01,7440,90.04,120.0,0.8022,0.1978,55.83,94.52,9.7,19.85
东北,2025-02,6720,87.55,119.0,0.8671,0.1329,54.28,91.93,10.51,19.32
东北,2025-03,7440,81.01,114.0,0.9663,0.0337,50.22,85.07,7.98,17.95
东北,2025-04,7200,72.43,105.0,0.9985,0.0015,44.92,76.05,8.3,16.14
东北,2025-05,7440,63.37,95.0,1.0,0.0,39.3,66.53,8.57,14.27
东北,2025-06,7200,56.71,88.0,1.0,0.0,35.15,59.57,6.04,12.91
东北,2025-07,7440,54.45,84.0,1.0,0.0,33.75,57.18,6.85,12.46
东北,2025-08,7440,56.51,88.0,1.0,0.0,35.04,59.32,8.02,12.88
东北,2025-09,7200,63.38,97.0,1.0,0.0,39.28,66.57,6.57,14.26
东北,2025-10,7440,72.3,107.0,0.9983,0.0017,44.83,75.93,8.28,16.12
东北,2025-11,7200,80.85,113.0,0.9681,0.0319,50.14,84.87,9.97,17.9
东北,2025-12,7440,87.73,120.0,0.8594,0.1406,54.39,92.13,8.53,19.36
华东,2025-01,28272,72.24,117.0,0.9805,0.0195,44.79,75.85,8.28,16.1
华东,2025-02,25536,69.96,115.0,0.9879,0.0121,43.37,73.45,9.1,15.62
华东,2025-03,28272,63.95,110.0,0.9956,0.0044,39.65,67.14,6.62,14.37
华东,2025-04,27360,56.03,102.0,0.9999,0.0001,34.74,58.83,6.98,12.71
华东,2025-05,28272,47.71,96.0,1.0,0.0,29.58,50.08,7.32,11.03
华东,2025-06,27360,41.61,85.0,1.0,0.0,25.8,43.7,4.83,9.87
华东,2025-07,28272,39.56,85.0,1.0,0.0,24.53,41.55,5.66,9.5
华东,2025-08,28272,41.43,88.0,1.0,0.0,25.7,43.49,6.81,9.83
华东,2025-09,27360,47.72,95.0,1.0,0.0,29.57,50.12,5.32,11.03
华东,2025-10,28272,55.92,101.0,0.9998,0.0002,34.67,58.72,6.97,12.69
华东,2025-11,27360,63.78,112.0,0.9969,0.0031,39.55,66.95,8.6,14.32
华东,2025-12,28272,70.12,114.0,0.9857,0.0143,43.47,73.63,7.11,15.66
华中,2025-01,8928,94.86,138.0,0.6532,0.3468,58.8,99.6,10.09,20.85
华中,2025-02,8064,92.33,137.0,0.6902,0.3098,57.24,96.93,10.88,20.33
华中,2025-03,8928,85.65,132.0,0.7903,0.2097,53.11,89.92,8.35,18.92
华中,2025-04,8640,76.9,122.0,0.9139,0.0861,47.68,80.75,8.65,17.08
华中,2025-05,8928,67.66,111.0,0.9868,0.0132,41.95,71.05,8.91,15.14
华中,2025-06,8640,60.87,104.0,0.9988,0.0012,37.73,63.93,6.37,13.74
华中,2025-07,8928,58.57,102.0,0.9992,0.0008,36.32,61.51,7.18,13.26
华中,2025-08,8928,60.68,105.0,0.9981,0.0019,37.63,63.67,8.36,13.71
华中,2025-09,8640,67.66,114.0,0.9855,0.0145,41.94,71.07,6.91,15.15
华中,2025-10,8928,76.77,123.0,0.9125,0.0875,47.6,80.61,8.64,17.06
